리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
스탠다드에서는 무채색 컬러만 구매했습니다 ㅎㅎ 귀여운 티셔츠에요 ㅋㅋ,남성, 187cm, 83kg,보통이에요,밝아요,선명해요,보통이에요
상품 좋습니다 사이즈 잘맞구요 아주 좋아요 굿굿,남성, 177cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
기본 검정 반팔티로 그냥 이거면 충분합니다 다들 사세욘ㅔ,남성, 175cm, 65kg,보통이에요,보통이에요,선명해요,보통이에요
무탠다드는 항상 기본은 해서 좋아요  잘 입겠습니다 ,남성, 177cm, 54kg,보통이에요,보통이에요,보통이에요,보통이에요
무탠다드는 항상 기본은 해서 좋아요  잘 입겠습니다 ,남성, 177cm, 54kg,보통이에요,보통이에요,보통이에요,보통이에요
기본으로 입기 아주 좋습니다 색도 찐하고 원하던거에요,남성, 175cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
다른거 다 필요없고 가격이 깡패입니다 가격에 비해 품질도 좋아용,남성, 180cm, 77kg,보통이에요,보통이에요,보통이에요,보통이에요
다른거 다 필요없고 가격이 깡패입니다 가격에 비해 품질도 좋아용,남성, 180cm, 77kg,보통이에요,보통이에요,보통이에요,보통이에요
무지티 중에 핏이든 원단이든 가격이든 최고입니다,남성, 169cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
무지티 중에 핏이든 원단이든 가격이든 최고입니다,남성, 169cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
무지티 중에 핏이든 원단이든 가격이든 최고입니다,남성, 169cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
진짜 세상 핏 이쁘다 무조건 사라 이거는 형이 강추한다 사라 색도 잘 뽑았노,남성, 183cm, 80kg,작아요,보통이에요,보통이에요,보통이에요
무난하고 가성비좋아요 전투복으로 굿굿 킹성비,남성, 178cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요
색상 이쁘고 사이즈도 좋네요3엑스라지가 없어서 2엑스라지 구입했는데괜찮네요,남성, 183cm, 90kg,보통이에요,보통이에요,보통이에요,보통이에요
오천원이여서 가성비는 굿 허나 뭔가 외출용으론 애매함 동네 마실용으로 입기는 좋은듯,남성, 174cm, 68kg,보통이에요,보통이에요,보통이에요,얇아요
세비 오버핏으로 좋아요 얇긴하나 만원 생각하면 가성비로 한철 입기 굿,남성, 174cm, 68kg,보통이에요,보통이에요,보통이에요,얇아요
밝은 남색  기본적인 오버핏 티셔츠 입니다  무난무난해요,남성, 175cm, 78kg,보통이에요,밝아요,보통이에요,보통이에요
가격 대비 재질도 좋구 핏도 마음에 드네요  자주 입어요,남성, 174cm, 69kg,보통이에요,보통이에요,보통이에요,보통이에요
파란색 색감 넘 이뻐요 ㅎㅎ 역시 믿고사는 무텐다드에요 ㅎㅎ,남성, 178cm, 74kg,보통이에요,보통이에요,보통이에요,보통이에요
