리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
깔끔하고 베이직한 디자인이라 무난하게 좋아요,남성, 177cm, 82kg,보통이에요,보통이에요,보통이에요,보통이에요
넥라인도 탄탄하니나쁘지 않고 질감도 좋습니다 가격도 좋아요  ,남성, 174cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
제가 찾던 레이어드티    너무 완벽해요 진짜 역시 믿고 사는 무탠다드 기장감 완벽하고요 같이 매치할 반팔 티 기장이랑 무탠다드 레이어드 티 기장 맞춰보시고 4 6센치 더 길게 사면 딱 예쁜거같아요 전  강추합니다,남성, 174cm, 66kg,보통이에요,보통이에요,보통이에요,보통이에요
저번에 사고 또 샀어요 여름에 레이어드하기 좋아요,남성, 175cm, 56kg,보통이에요,보통이에요,보통이에요,보통이에요
저번에 사고 또 샀어요 여름에 레이어드하기 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드에 너무 완벽한 기장입니다 많이 파세요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드티로 입기도 하고 바지에 넣어서 입기도 해용 너무 좋아요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
제가 완전 레이어드용으로만 입으려고 스몰로 샀는데도 길이가 너무 길어서 엉덩이까지 오더라구요 수선해서 잘 입고 다니고있습니다 옷 자체는 이쁘고 레이어드용으로 너무 괜찮아요   ,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
여름 무지 반팔은 무탠다드죠 레이어드로 사용할 수 있지만 넣입이 더 예쁜것 같아요 ㅎㅎ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
앞뒤 균일한 일반기장 제품에서도  품을 작게 해서 발매해주셨음 좋겠습니다 어차피 레이어드용인데 품이 커봐야 붕 뜨기만 할거같아 이쪽 작은 사이즈로 구매했습니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
앞뒤 균일한 일반기장 제품에서도  품을 작게 해서 발매해주셨음 좋겠습니다 어차피 레이어드용인데 품이 커봐야 붕 뜨기만 할거같아 이쪽 작은 사이즈로 구매했습니다 ,여성, 162cm, 58kg,보통이에요,보통이에요,보통이에요,보통이에요
앞뒤 균일한 일반기장 제품에서도  품을 작게 해서 발매해주셨음 좋겠습니다 어차피 레이어드용인데 품이 커봐야 붕 뜨기만 할거같아 이쪽 작은 사이즈로 구매했습니다 ,남성, 173cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
앞뒤 균일한 일반기장 제품에서도  품을 작게 해서 발매해주셨음 좋겠습니다 어차피 레이어드용인데 품이 커봐야 붕 뜨기만 할거같아 이쪽 작은 사이즈로 구매했습니다 ,남성, 165cm, 47kg,보통이에요,보통이에요,보통이에요,보통이에요
앞뒤 균일한 일반기장 제품에서도  품을 작게 해서 발매해주셨음 좋겠습니다 어차피 레이어드용인데 품이 커봐야 붕 뜨기만 할거같아 이쪽 작은 사이즈로 구매했습니다 ,남성, 165cm, 47kg,보통이에요,보통이에요,보통이에요,보통이에요
옷 너무 만족해요 크기가 커서 운동 할때 엉덩이 부분 신경도 안써도 되거 너무너무 좋아요,여성, 174cm, 54kg,커요,보통이에요,보통이에요,보통이에요
딱 생각했던대로 무난하고 좋습니다 깔끔해서 좋아요,남성, 187cm, 84kg,보통이에요,보통이에요,보통이에요,보통이에요
너무 맘에 들고 색감도 굿 그리고 사이즈는 조금 아쉬웠어요,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
사이즈를 계속 틀려서   부터  까지 샀는데 제질도 좋고 맘에 듬,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
키가 174인데  가 이정도에요 넘 좋아서 한개 더 구매했어요 항상 레이어드티를 사면 품이 크고 길이는 짧았는데 이옷은 반대여서 넘 좋아요,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
색깔별로 구매중입니다  기장감 길어서 레이어드하기 좋습니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
기본티 이너로 입으려고 샀는데 저렴한 가격에 질 좋습니다 ,남성, 180cm, 75kg,보통이에요,밝아요,보통이에요,보통이에요
레이어드 하기에 너무 깁니다   는 어깨라인이 너무 째서  로 갔는데 굉장히 기네요 조금 잘라야 할 것 같아요,남성, 185cm, 88kg,커요,밝아요,보통이에요,보통이에요
레이어드 연출에 너무나 간편한 반팔입니다  필수 ,남성, 177cm, 77kg,보통이에요,보통이에요,보통이에요,보통이에요
생각했던거 보다 많이 길어요ㅋ근데 나름 쓰임이 있어서 잘쓸거 같아요,남성, 179cm, 49kg,커요,밝아요,선명해요,보통이에요
지난번에 구매하고 맘에 들어서 추가 구매 했어요 만족합니다,NaN,NaN,NaN,커요,밝아요,선명해요,얇아요
천도 짱짱하고 기장도 레이어드하기에 적합하네요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
무난하고 너무 이뻐요 추천해요   세일할때 사서 저렴하게 산거같네요 ㅎㅎ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
