리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
안에 입으려고 샀는데 두께감도 괜찮고 예뻐서 잘입고 있어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
안에 입으려고 샀는데 두께감도 괜찮고 예뻐서 잘입고 있어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
기본티는 진짜 무탠다드만입고 다녀요  색별로 다사야할듯하네요ㅎㅎ,남성, 177cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
기본템으로 가지고 있으면 좋음  다만 목부분이 좀 불편,남성, 180cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요
기본템으로 좋으나 목부분이 입고있을 때 좀 불편함,남성, 180cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요
화이트 구매후 세일기간 블랙 하나더 장만했습니다 넥라인이 얇아서 블레이져나 이너용으로 좋을것같아요 ,남성, 175cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
상의를 머슬핏으로 입는 분들은 제 스팩에  추천 널널허게 입는분들은 무조건  이상 옷이 튼튼하고 좋습니다 ,남성, 177cm, 80kg,보통이에요,보통이에요,보통이에요,두꺼워요
옷 적당히 잘 맞았고 옷 자체가 엄청 쫀쫀하고 이뻐서 자켓이랑 같이 입기 좋습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
사이즈도 잘 맞고 이뻐요 감사합니다 자주 입을 거 같아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
꼭 하나씩은 있어야하는 티  대만족   예쁜 오버로 잘 입을 수 있습니답    ,NaN,NaN,NaN,커요,보통이에요,선명해요,보통이에요
원단이좋아서 부드러워 착용감이너무좋아요 넥부분 너무맘에드네요,NaN,NaN,NaN,보통이에요,밝아요,보통이에요,보통이에요
핏도 좋고 가격도 좋아서 데일리로 막 입기 좋아요 추천합니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
핏도 좋고 가격도 좋아서 데일리로 막 입기 좋아요 추천합니다,남성, 178cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
약간 두께감이있어서 가을철부터 착용하면 좋아보입니다,남성, 169cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
약간 두께감이있어서 가을철부터 착용하면 좋아보입니다,남성, 169cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
딱 맞고 너무 좋네요 여름용으로 강추합니다 한장 더살게요,남성, 169cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
옷 예뻐요  넥 디자인 하나로 스타일이 더욱 깔끔해지는 것 같아요   그런데 색상별로 약간의 사이즈 차이가 있어요  기장과 넥둘레 부분정도에서요  이건 딱 적당해요 ,남성, 169cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
옷 예뻐요  넥 디자인 하나로 스타일이 더욱 깔끔해지는 것 같아요   그런데 색상별로 약간의 사이즈 차이가 있어요  기장과 넥둘레 부분정도에서요  더스티 크림은 같은 사이즈의 다른 색상 제품과 비교했을 때 살짝 작아요  이건 나중에 2   사야겠어요 ,남성, 169cm, 80kg,작아요,보통이에요,보통이에요,보통이에요
옷 예뻐요  넥 디자인 하나로 스타일이 더욱 깔끔해지는 것 같아요   그런데 색상별로 약간의 사이즈 차이가 있어요  기장과 넥둘레 부분정도에서요  2  는 저한테는 커요 ,남성, 169cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
옷 예뻐요  넥 디자인 하나로 스타일이 더욱 깔끔해지는 것 같아요   그런데 색상별로 약간의 사이즈 차이가 있어요  기장과 넥둘레 부분정도에서요  이 색상은 기장이 더 길고 넥라인이 작아서 더욱 마음에 들어요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
옷 예뻐요  넥 디자인 하나로 스타일이 더욱 깔끔해지는 것 같아요   그런데 색상별로 약간의 사이즈 차이가 있어요  기장과 넥둘레 부분정도에서요  제 기준으론 블랙이 기장이 더 길고 넥라인이 더 작아서 더욱 마음에 들어요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
옷 예뻐요  넥 디자인 하나로 스타일이 더욱 깔끔해지는 것 같아요   그런데 색상별로 약간의 사이즈 차이가 있어요  기장과 넥둘레 부분정도에서요  이 색상은 넥둘레가 살짝 더 커요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
색감도 좋고 핏도 이뻐요 바지에 넣어서 입기에 제격입니다,남성, 175cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
가성비 좋아요 조금더 핏했으면 좋겠지만 무난하게 입을수있을거같아요,남성, 168cm, 55kg,보통이에요,보통이에요,보통이에요,보통이에요
사이즈도 딱맞고 색감도 너무 좋아요 다른색도 사고싶네요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
봄에 자켓 이너용으로 굳입니다 잘입을게요 역시 가성비 좋습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
