리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
가을에 무난하게 입으려고 샀어요 한 사이즈 크게 가니까 세미오버핏 나오네요,남성, 171cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
무난하게 그냥 입기 좋을것 같네요가성비 좋은것 같습니다,남성, 172cm, 69kg,보통이에요,보통이에요,보통이에요,보통이에요
아무렇게나 입어도 편하고 예뻐서 좋아요 잘 입을 수 있을 것 같습니다 ,남성, 175cm, 58kg,보통이에요,밝아요,선명해요,얇아요
이너티로도 좋고 봄 가을에 기본 무지티로도 좋아여,여성, 168cm, 56kg,보통이에요,보통이에요,보통이에요,얇아요
역시 기대를 져버리지 않네요 사이즈 딱 맞고 재질도 생각보다 짱짱해요,남성, 175cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
티셔츠가 많이 얇아서 좋았어요 한여름에도 반바지입고 팔걷으면 괜찮네요,남성, 170cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
172에 68정도인데  이  보다조금 더 잘 어울리는 거 같아요 ,남성, 172cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
172에 68정도인데  이 조금 더 잘 어울리는 거 같아요 ,남성, 172cm, 70kg,커요,보통이에요,보통이에요,보통이에요
쫌 큰긴한데 색갈도 괜찮고 그냥 귀찮아서 입을게요,남성, 170cm, 53kg,커요,보통이에요,보통이에요,두꺼워요
평소 사이즈로 사면 클거같아서 사이즈 다운했는데 작아요ㅠㅠ 정사이즈나 사이즈업 해도 무방할듯합니다,남성, 165cm, 56kg,작아요,보통이에요,보통이에요,얇아요
기본티셔츠 필수템이에요 세탁해봐야 알겠지만 재질도 좋은듯합니다,남성, 176cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
너무 예뻐요 그리고 사이즈 너무 좋아요 어깨 좁은데 넓어 보입니다 가성비 쩌네요 다음에도 여기서 사야겠어요 ,남성, 170cm, 52kg,보통이에요,밝아요,보통이에요,보통이에요
