리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
적당한 두께감이어서 보 가을이 입기 너무 조아요 무난 맨투맨으로 짱,NaN,NaN,NaN,보통이에요,어두워요,선명해요,두꺼워요
153에게  은 완전 큽니다  랑  에서 고민하다가   샀는데 후회되네요    두 번째 사진처럼 소매 한 번을 접고 밑단도 한 번 접는다면 괜찮아집니다      그리고 옷은 얇으면서 두꺼워서 좋습니다 ,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
정말 무난합니다무탠다드 특징 목 늘어남 없어서 오래 입기 좋을듯합니다집에서 편히 입어도 좋고 편하게 외출할때 입으셔도 좋아요,NaN,NaN,NaN,보통이에요,어두워요,선명해요,보통이에요
편하게 밖에 나갈때 입으려고 샀어요여름에입긴 덥고 봄가을 단품으로 입기좋은 두께입니다,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
저는 블랙 샀는데 편하게 입기에 좋습니다   블랙 추천해요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
박시한 맨투맨을 찾던중 구입했습니다 가성비가 좋은것같습니다,남성, 182cm, 63kg,커요,보통이에요,보통이에요,보통이에요
기본티가 필요해서 구매했는데  입기에 무난해요,남성, 173cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
가성비 좋고 기본템으로 입을 수 있는 검정색 맨투맨 이에요 ,남성, 171cm, 67kg,보통이에요,어두워요,보통이에요,보통이에요
기장하고 팔 길이 둘 다 딱 핏으로 나온거같아요 약간 크게 사세요,남성, 177cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
너무 좋아요편하고 부드럽네요세탁은 해봐야 알 것 같아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
   다양한 색상과 균일한 품질로 선택에 주저함이 없다  더구나 이러한 가성비라니     178센티 87킬로 허리 38인치에   를 무난히 입을 수있다  다만 나의 팔길이가 키가 185센티인 사람과 비슷한 수준이어서 보통 체격의 178센티라면 오버핏을 원하지 않는다면 크게 느껴질 수 있으므로  를 선택하는 것이 좋을 것이다  ,NaN,NaN,NaN,보통이에요,보통이에요,선명해요,보통이에요
가격도 저렴하고 좋습니다다른색상오도 구입하고싶습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
나름 좀 크고 어깨 부분이 부각돼있는데 자주 입고 그러면 ㄱㅊ아 지는 거 같긴해유그래도 좀 큰 느낌입니당,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
살짝 정핏보다 작게나왔음  오버핏입으려면 평소입는치수보다 한단계 크게 해서 구매하시길,NaN,NaN,NaN,작아요,밝아요,보통이에요,보통이에요
ㅎㅎ 딱 원하는 핏이왔네요 배송도 엄청빠르고 기분이 넘좋습니다 상체가 큰편인데   딱이네여 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
