,user,26,27,28,29,30,31,32,33,34,36,38,40,42
92,LV 3 뉴비_38c0b2cb,,,,,,,,3.0,5.0,3.0,,,
93,LV 3 뉴비_39005e1131e0,,3.0,5.0,3.0,,,,,,,,,
94,LV 3 뉴비_3dbd9771,,,,,,3.0,5.0,3.0,,,,,
95,LV 3 뉴비_425e99eede64,,3.0,5.0,3.0,,,,,,,,,
96,LV 3 뉴비_42d19de8b1d5,,,3.0,5.0,3.0,,,,,,,,
97,LV 3 뉴비_43ec177a,,,,,3.0,5.0,3.0,,,,,,
98,LV 3 뉴비_45811651,,,,,,,,,3.0,5.0,3.0,,
99,LV 3 뉴비_49d04aea,,,,3.0,5.0,3.0,,,,,,,
100,LV 3 뉴비_4bf1fdab2e04,,,,3.0,5.0,3.0,,,,,,,
101,LV 3 뉴비_52d30843,,,,,3.0,5.0,3.0,,,,,,
102,LV 3 뉴비_541f91c41bdf,3.0,5.0,3.0,,,,,,,,,,
103,LV 3 뉴비_54e289df0e3e,,,3.0,5.0,3.0,,,,,,,,
104,LV 3 뉴비_624c5d48,,,3.0,5.0,3.0,,,,,,,,
105,LV 3 뉴비_6dfcc3949248,,,,,3.0,5.0,3.0,,,,,,
106,LV 3 뉴비_6f7aa08a,,,,,3.0,5.0,3.0,,,,,,
107,LV 3 뉴비_75692ab604f1,,,,3.0,5.0,3.0,,,,,,,
108,LV 3 뉴비_75a85e447f09,,,,3.0,5.0,3.0,,,,,,,
109,LV 3 뉴비_75a8b075,,,,,,3.0,5.0,3.0,,,,,
110,LV 3 뉴비_791ae8be,,,,,,3.0,5.0,3.0,,,,,
111,LV 3 뉴비_7ad2a5de2c0a,,,,,,,3.0,5.0,3.0,,,,
112,LV 3 뉴비_7ed1773c,,,,3.0,5.0,3.0,,,,,,,
113,LV 3 뉴비_812fd411,,,,,,3.0,5.0,3.0,,,,,
114,LV 3 뉴비_836c4a8120c0,,,3.0,5.0,3.0,,,,,,,,
115,LV 3 뉴비_836c6fcf2a3b,,,3.0,5.0,3.0,,,,,,,,
116,LV 3 뉴비_8700660c,,,,3.0,5.0,3.0,,,,,,,
117,LV 3 뉴비_87f979ccbff9,,,,,,,3.0,5.0,3.0,,,,
118,LV 3 뉴비_8982a073e999,,,,,,3.0,5.0,3.0,,,,,
119,LV 3 뉴비_8d39d0ced10b,,,,,,3.0,5.0,3.0,,,,,
120,LV 3 뉴비_8e536b26,3.0,5.0,3.0,,,,,,,,,,
121,LV 3 뉴비_913cca0269d0,,,,,,,3.0,5.0,3.0,,,,
122,LV 3 뉴비_93e268dba69e,,,,,,3.0,5.0,3.0,,,,,
123,LV 3 뉴비_967380255ea2,,,,,3.0,5.0,3.0,,,,,,
124,LV 3 뉴비_9ad5d75a4f66,,,,,,,,3.0,5.0,3.0,,,
125,LV 3 뉴비_9f552dec,3.0,5.0,3.0,,,,,,,,,,
126,LV 3 뉴비_a2740ef3,,,,,,3.0,5.0,3.0,,,,,
127,LV 3 뉴비_a95580c1f41e,,,,3.0,5.0,3.0,,,,,,,
128,LV 3 뉴비_aa3d1cb0,,,,,,,,,,3.0,5.0,3.0,
129,LV 3 뉴비_b55b5fdc,,,,,3.0,5.0,3.0,,,,,,
130,LV 3 뉴비_b619dc1ad893,,,,,,,3.0,5.0,3.0,,,,
131,LV 3 뉴비_b6cb34c2452d,,,,,,3.0,5.0,3.0,,,,,
132,LV 3 뉴비_b8d0a092db68,,,,,,,,3.0,5.0,3.0,,,
133,LV 3 뉴비_bd44b98b9337,,,,,,,,3.0,5.0,3.0,,,
134,LV 3 뉴비_c311ac5c0deb,,,,,,3.0,5.0,3.0,,,,,
135,LV 3 뉴비_c5b636ba,,,,,,3.0,5.0,3.0,,,,,
136,LV 3 뉴비_c650cc1cebcd,5.0,3.0,,,,,,,,,,,
137,LV 3 뉴비_cea14c6b,,,,,3.0,5.0,3.0,,,,,,
138,LV 3 뉴비_d0be4dc1,,,,,,3.0,5.0,3.0,,,,,
139,LV 3 뉴비_d3af97e20049,,3.0,5.0,3.0,,,,,,,,,
140,LV 3 뉴비_d45f0414,,3.0,5.0,3.0,,,,,,,,,
