gender,height,weight,item,content,size,brightness,color,thickness
남성, 180cm,75kg,쿨 코튼 2-PACK 티셔츠 화이트,원단이 도톰해서 핏이 좋고 캐주얼한 느낌이 큰 두꺼운 넥라인도 좋습니다,커요,보통이에요,보통이에요,두꺼워요
남성, 178cm,74kg,에센셜 쿨 코튼 2-PACK 티셔츠,니플패치는 하는게 좋을거같아오. 진짜 에센셜한거라 편하게 입기 좋아요.,보통이에요,보통이에요,보통이에요,얇아요
남성, 172cm,68kg,에센셜 쿨 코튼 2-PACK 티셔츠,옷이 얇고 입었을 때 너무 편해요 사이즈도 적당!!고민하고 있다면 그냥 사세요,보통이에요,보통이에요,보통이에요,얇아요
남성, 185cm,65kg,에센셜 쿨 코튼 2-PACK 티셔츠,올해 산 반팔 중 제일 맘에 들어요!진짜 후회 안 해요,보통이에요,보통이에요,보통이에요,얇아요
남성, 187cm,60kg,에센셜 쿨 코튼 2-PACK 티셔츠,어디에나 잘어울리고 이쁘고 좋아요 가격도 적당해요,보통이에요,밝아요,보통이에요,보통이에요
남성, 178cm,63kg,에센셜 쿨 코튼 2-PACK 티셔츠,레이어드로 입기도 좋고 단품으로 입기도 좋아요!,보통이에요,보통이에요,보통이에요,보통이에요
남성, 184cm,83kg,에센셜 쿨 코튼 2-PACK 티셔츠,쉬원하고 제질 좋고 핏도 좋습니다 여름에 잘 입을거가 아요,보통이에요,보통이에요,보통이에요,보통이에요
여성, 163cm,45kg,쿨 코튼 2-PACK 티셔츠 화이트,잘입고다녀요 할인으로 싸게 구매했어요 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
남성, 178cm,76kg,에센셜 쿨 코튼 2-PACK 티셔츠,소재가 너무 얇지 않아서 좋아요. 라지 작지 않을까 걱정했는데 엑스라지 했으면 클뻔 했네요. 잘 입겠습니다.,보통이에요,보통이에요,보통이에요,보통이에요
여성, 161cm,55kg,에센셜 쿨 코튼 2-PACK 티셔츠,옷 재질이 땀 나도 몸에 안 붇는 그런 재질이라 너무 좋아요 그라고 무엇보다 가성비 갑👍,커요,보통이에요,선명해요,보통이에요
남성, 175cm,58kg,에센셜 쿨 코튼 2-PACK 티셔츠,여름에 입기 좋은 원단으로 만들어져서 편안하고 자주 손이 가요,보통이에요,밝아요,선명해요,보통이에요
남성, 177cm,72kg,에센셜 쿨 코튼 2-PACK 티셔츠,재질 만족하고 여름에 입기에 너무 좋은 옷들이예요 색깔 너무 예뻐요,커요,밝아요,선명해요,보통이에요
