상품명,구매사이즈,성별,키,몸무게,착용사이즈,착용두께감,리뷰
데일리 퍼티그 팬츠 블랙,M,남성, 175cm, 72kg,보통이에요,보통이에요,"작년에 구매한 제품과 색상만 다른걸로 구매했습니다
재구매 굿 ㅎㅎ"
데일리 퍼티그 팬츠 올리브,XL,남성, 177cm, 90kg,보통이에요,보통이에요,바지 색도 이쁘고 핏도 이쁜데 살짝 긴감이 있어서 끝까지 올려 입으니 그래도 괜찮네요.
데일리 퍼티그 팬츠 블랙,M,남성, 171cm, 64kg,커요,보통이에요,색다른 느낌의 블랙 팬츠네요 뭔가 치노도 아니고 소재가 특이합니다 핏도 좋구요
데일리 퍼티그 팬츠 올리브,M,남성, 178cm, 70kg,보통이에요,보통이에요,"서걱서걱 딱 그 느낌입니다.
좀 크다는 리뷰 많았는데 개인적으론 정사이즈 같아요."
데일리 퍼티그 팬츠 올리브,M,남성, 170cm, 65kg,보통이에요,보통이에요,"바지 너무 이쁨 색상도 너무 이쁨
봄 여름 가을에 입을수 있음
그만큼 두깨 두껍지 않음 얇단 소리임
가격도 굿이고 잘샀다 커버낫아"
데일리 퍼티그 팬츠 올리브,M,남성, 189cm, 67kg,커요,보통이에요,같은 검정색 바지 사면서 이 컬러 바지 색감도 이뻐서 샀는데 너무 괜찮네요
데일리 퍼티그 팬츠 블랙,M,남성, 189cm, 67kg,보통이에요,보통이에요,키가 많이 크고 말라서 기장이랑 허리 둘다 맞는적이 없었는데 이 바지는 저한테 딱 맞네요 :)
데일리 퍼티그 팬츠 올리브,S,남성, 173cm, 64kg,보통이에요,보통이에요,진한카키가 매력적이고 레귤러하게 떨어지는게 이뻐요
데일리 퍼티그 팬츠 올리브,L,남성, 178cm, 68kg,커요,보통이에요,"뭔 놈의 바지가 이렇게 밑위도 길고 허리도 큰가 싶었는데 이제 이 바지 없이는 살 수 없게 됐어요
편하기도 편하고 코디하기도 쉬워서 다른 색상도 구매하려구요

허리 31-32 정도 입으시면 L 추천합니다"
데일리 퍼티그 팬츠 베이지,M,남성, 180cm, 82kg,보통이에요,보통이에요,허리가 좀 저한텐 작아서 불편하지만 사이즈하나 큰거사면좋을듯
데일리 퍼티그 팬츠 블랙,XL,남성, 182cm, 74kg,커요,보통이에요,오웅 힙하게 입으려고 햇는데 힙합이 되버렷지 뭐야
데일리 퍼티그 팬츠 베이지,S,여성, 168cm, 59kg,보통이에요,얇아요,허리랑 바지 길이 딱 좋고 색깔이 예뻐서 어디에 매치해도 잘 어울립니다 좀 얇아서 지금 입기엔 추워요
데일리 퍼티그 팬츠 올리브,M,남성, 171cm, 69kg,보통이에요,보통이에요,예뻐서 손이 자주가는 옷입니다 사이즈도 적당해요
데일리 퍼티그 팬츠 올리브,L,남성, 172cm, 67kg,보통이에요,보통이에요,이쁜데 조금 약해요 원단이 그래도 싸고 이뻐서 핏도좋아서 만족
데일리 퍼티그 팬츠 올리브,M,남성, 168cm, 68kg,보통이에요,보통이에요,사이즈 좋고 기대이상으로 좋습니다 세일가격으로사서
데일리 퍼티그 팬츠 올리브,L,남성, 187cm, 72kg,보통이에요,보통이에요,"와이드한 느낌의 바지 찾고있었는데 이쁘네요.
188기준 L시켜도 충분합니다"
데일리 퍼티그 팬츠 올리브,M,남성, 175cm, 73kg,보통이에요,보통이에요,175인데 접어 입으니 예쁘고 편합니다 ㅋㅋ 겨울제외하고 두루두루 편하게 입을 수 있어요
데일리 퍼티그 팬츠 베이지,L,남성, 178cm, 74kg,보통이에요,보통이에요,오버핏 바지로 라인 잘 빠졌어요 배송 빨리 와서 바로 입어보고 다음날 입고 외출하고 왔는데 아무래도 면바지라서 주름은 사진처럼 나오네요 면 소재도 좋고 두께는 막 두꺼운게 아니라서 한 겨울에는 추울듯 ㅎㅎ색상은 베이지로 칙칙하지 않도 화면과 동일해요 아니 그것보다 좀 더 밝게 느껴지긴 했네요
데일리 퍼티그 팬츠 올리브,L,남성, 183cm, 69kg,보통이에요,보통이에요,바지가 참 예뻐요 바지 통이 적당히 넓어서 좋네요
데일리 퍼티그 팬츠 올리브,M,남성, 181cm, 64kg,보통이에요,보통이에요,"조금 벙벙하긴 한데, 색감 좋고 어떤 상의에든 잘 받네용"
데일리 퍼티그 팬츠 에크루,L,남성, 180cm, 80kg,보통이에요,보통이에요,"두께감도 좋고 사이즈도 적당하고
입기 딱이예요~
좋아요!"
데일리 퍼티그 팬츠 올리브,M,남성, 172cm, 72kg,커요,보통이에요,"허리는 딱 맞는데, 기장이 살짝 기네요
신발을 덮을정도의 기장을 원했는데, 따로 수선을 해야될것같습니다.
그 말고는 전체적인 핏이 굉장히 이쁩니다."
데일리 퍼티그 팬츠 에크루,M,남성, 170cm, 77kg,보통이에요,보통이에요,기장이 길어서 신발 덮게 코디하면 이쁩니다 하얀바지 사고싶었는데 잘샀네요
데일리 퍼티그 팬츠 베이지,S,남성, 180cm, 68kg,보통이에요,보통이에요,"편한 와이드핏 바지에 깔끔한 베이지색이 캐주얼스타일에 잘어울려요. 근데 치노팬츠치고 얇아서
좀 추워지면 잘 껴입어얄거같아요"
데일리 퍼티그 팬츠 블랙,M,남성, 177cm, 70kg,보통이에요,보통이에요,깔끔하고 어디에나 잘 어울려요. 세일해서 잘 샀어요.
데일리 퍼티그 팬츠 에크루,XL,남성, 175cm, 88kg,커요,보통이에요,"좀 얇고 구김이 잘 가긴하는데 면바지니까....
라며 나는 미드필더니까...와 같은 마음가짐으로 입으니 만족스럽습니다."
데일리 퍼티그 팬츠 에크루,S,남성, 170cm, 68kg,보통이에요,보통이에요,데일리 퍼티그 팬츠 에크루 에스 사이즈 좋아용용 히히
데일리 퍼티그 팬츠 에크루,S,남성, 171cm, 69kg,보통이에요,보통이에요,"살짝 큰데 허리띠 쫄라메고 롤업해서 입으니깐 괜찮은거 같에여
옷재질도 부들부들하고 색깔도 야물딱지게 잘빠져서
이쁩니다~
만족합니다"
