,user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval
1381,LV 5 크러커다일,남성, 162cm, 68kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],S,4,완죤 가성비 좋구여 세일할때 싸게 구매해서 조아영,보통이에요,보통이에요,보통이에요,보통이에요
1382,LV 6 뉴비_459a34f2,남성, 173cm, 76kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,4,오버 사이즈로 입기 좋습니다 가성비 만족합니다,보통이에요,보통이에요,보통이에요,보통이에요
1383,LV 5 봉달예,남성, 180cm, 80kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],M,5,밑에 입는거라면 사이즈 하나 줄이는게 좋습니다,커요,보통이에요,보통이에요,보통이에요
1384,LV 7 윰식 @,남성, 173cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [다크 그레이],L,5,여러 브랜드 티 고민하다가 샀는데 마음에 드네요!,보통이에요,보통이에요,보통이에요,보통이에요
1385,LV 3 블랙라벨44,남성, 174cm, 61kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],M,5,무난하게 입기 좋아요 소재도 적당히 톡톡해요 굿,보통이에요,보통이에요,보통이에요,보통이에요
1386,LV 5 izhdai,남성, 173cm, 64kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],M,5,살짝 오버핏으로 나와서 입었을때 롤업해서 입으면 핏 이뻐요,보통이에요,보통이에요,보통이에요,보통이에요
1387,LV 4 매보웅,남성, 175cm, 90kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],2XL,5,최고의 가성비흰티 인것 같습니다 길이감도 있어서 레이어드 기본템으로 확실하게 좋습니다!,보통이에요,보통이에요,보통이에요,보통이에요
1388,LV 4 매보웅,남성, 175cm, 90kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],2XL,5,무탠다드의 기본티란 정말 가성비가 곧 성의라는것 레이어드 기본티로 최강자,보통이에요,보통이에요,보통이에요,보통이에요
1389,LV 3 뉴비_ed781c1354e7,남성, 166cm, 52kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],S,5,원단 너무 좋고 핏도 적당하구 이너로 입기 너무 좋을거 같아요!,보통이에요,보통이에요,보통이에요,보통이에요
1390,LV 5 골드스밋,남성, 171cm, 61kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,5,무지티로 이정도 퀄리티 아주 좋은거같아요! 다른 색상도 구매하고싶어요!,보통이에요,보통이에요,보통이에요,보통이에요
1391,LV 4 떫은비누,남성, 170cm, 66kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,5,이제는 여름 필수템이 되어버린 기본템이네요 몇장째 구매하는지...ㅎㅎ 굿,보통이에요,보통이에요,보통이에요,보통이에요
1392,LV 6 나이트로드,남성, 170cm, 63kg,릴렉스 핏 크루 넥 반팔 티셔츠 [에그렛],M,5,두께 적당하고 적당히 널널하네요 색깔은 사진보다 노란색을 띄는거 같아요,보통이에요,보통이에요,보통이에요,보통이에요
1393,LV 3 ㅌㅎ ㅌ,남성, 167cm, 65kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],S,5,시원하고 생각보다 꼭툭튀가 잘 안보여서 니플패치 필요없을 정도입니다,보통이에요,보통이에요,보통이에요,보통이에요
1394,LV 5 Koshino,남성, 185cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [스모크 핑크],XXL,5,빠른배송 감사합니다.잘받았습니다.만족합니다.,보통이에요,보통이에요,보통이에요,보통이에요
1395,LV 5 Koshino,남성, 185cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [머스터드],XXL,5,빠른배송 감사합니다.잘받았습니다.만족합니다.,보통이에요,보통이에요,보통이에요,보통이에요
1396,LV 4 뉴비_883fbabea1cf,남성, 178cm, 83kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],XL,5,할인할 때 구매했는데 무신사 스탠다드 답게 가성비는 좋습니다. 얇아서 여름에 시원하게 입을 수 있을것 같아요.,보통이에요,어두워요,보통이에요,얇아요
1397,LV 3 Hush_,남성, 179cm, 85kg,릴렉스 핏 크루 넥 반팔 티셔츠 [올리브],L,5,치수 적당하고(정핏도 오버핏도 아닌 편안한 치수) 얇아서 더운 날씨에 입기 딱입니다. 다만 얇아서 단정한 느낌은 안나기 때문에 그냥 동네 편하게 다니는 용도로 괜찮은 거 같아요. 컬러 다양한 것도 맘에 드네요. ,보통이에요,보통이에요,선명해요,얇아요
1398,LV 5 퐁코,남성, 183cm, 65kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],XL,5,할인할때 샀는데 집에서나 집앞에 마실나갈때 입기 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
1399,LV 5 서동키,남성, 183cm, 80kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],XL,5,가성비로 한철 지내는 용도로 편하게 입기 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
1400,LV 5 골드스밋,남성, 171cm, 61kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,5,무지티로 이정도 퀄리티 아주 좋은거같아요! 다른 색상도 구매하고싶어요!,보통이에요,보통이에요,보통이에요,보통이에요
