user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval,cm,총장,어깨너비,가슴단면,소매길이
LV 5 이리노야,남성, 170cm, 60kg,넌슬립 자수 후드 그레이,기모 M,5.0,세일할때 구매했는데 기대이상이네요면도 좋고 예뻐요,보통이에요,보통이에요,보통이에요,보통이에요,,,,,
LV 3 룡료리,여성, 158cm, 70kg,넌슬립 자수 후드 크림,M,5.0,158에 살집 있는편인데 부해보이지도 않구 길이도 적당해요!,커요,밝아요,선명해요,보통이에요,M,71.0,58.0,67.0,62.0
LV 3 뉴비_75078649fa5f,여성, 160cm, 47kg,넌슬립 자수 후드 그레이,M,5.0,잘 받았습니다. 기장이 생각보다 짧은것 말고는 디자인 색상 다 마음에 듭니다.,커요,보통이에요,선명해요,보통이에요,M,71.0,58.0,67.0,62.0
LV 5 마마마누,남성, 179cm, 64kg,넌슬립 자수 후드 크림,M,3.0,179/64기준 이너로 입을거면 M 그냥 오버핏 후드로 입을거면 L 추천합니다그리고 생각보다 속부분은 약간 거칠어요,보통이에요,보통이에요,보통이에요,보통이에요,M,71.0,58.0,67.0,62.0
LV 3 뉴비_dad97a18489c,여성, 162cm, 41kg,넌슬립 자수 후드 크림,M,5.0,m사이즈가 제일 작은 거라 m으로 샀는데 사이즈가 좀 커요 s 사이즈 있으면 좋을 거 같아요뒤에 고양이는 너무 귀엽고 좋아요!!,커요,밝아요,선명해요,얇아요,M,71.0,58.0,67.0,62.0
LV 3 bvw570,남성, 170cm, 70kg,넌슬립 자수 후드 그레이,기모 M,3.0,가격 좋고 따뜻하니 좋네요 꼼파뇨 옷 좋네요 잘 입을게요,보통이에요,보통이에요,보통이에요,보통이에요,,,,,
LV 3 뉴비_75078649fa5f,여성, 160cm, 47kg,넌슬립 자수 후드 그레이,M,4.0,잘 받았습니다. 기장이 생각보다 짧은것 말고는 디자인 색상 다 마음에 듭니다.,커요,보통이에요,선명해요,보통이에요,M,71.0,58.0,67.0,62.0
LV 3 무명성지구인,여성, 155cm, 48kg,넌슬립 자수 후드 그레이,M,5.0,아담한 체형이라 평소 S사이즈 입어요. M사이즈라 힙을 덮는 완전 마음에 드는 오버사이즈가 되네요. 넘 이뻐요. 후드도 딱 예쁜 각. 원단도 좋고 예쁜 회색입니다. ,보통이에요,보통이에요,보통이에요,보통이에요,M,71.0,58.0,67.0,62.0
LV 3 뉴비_42daaee7cfdf,여성, 163cm, 53kg,넌슬립 자수 후드 그레이,M,5.0,데일리룩으로 최상이네요 깔끔한. 디자인과 부드러운 소재로 최고입니다,보통이에요,보통이에요,보통이에요,보통이에요,M,71.0,58.0,67.0,62.0
LV 4 멤버_e6a6051199a0,여성, 160cm, 48kg,넌슬립 자수 후드 그레이,M,5.0,중딩딸래미 사이즈 딱이네요~~ 넘 크지도 않고 적당한 사이즈예요,보통이에요,보통이에요,보통이에요,보통이에요,M,71.0,58.0,67.0,62.0
LV 3 h_yo,남성, 174cm, 70kg,넌슬립 자수 후드 그레이,기모 L,5.0,"안에 기모털이 세탁,건조기했는데도 많이달라붙네요그거빼고는 만족합니다 사이즈 정사이즈가세요",보통이에요,보통이에요,보통이에요,보통이에요,,,,,
LV 3 뉴비_77a2940fbee5,남성, 171cm, 60kg,넌슬립 자수 후드 그레이,M,5.0,색상 디자인 사이즈 모두 만족해요 다른 색도 사고 싶어요,보통이에요,보통이에요,선명해요,보통이에요,M,71.0,58.0,67.0,62.0
